"Station1","Station2","Station3","Station4","Station5","Station6","From","To","F_Low","F_High","Species","Individual","Comments"
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,0.8,1.1,2000,6500,"REVI",1,""
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,1.9,2.2,2000,6500,"REVI",1,""
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,2.8,3.1,2000,6500,"REVI",1,""
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,4.2,4.5,2000,6500,"REVI",1,""
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,5,5.3,2000,6500,"REVI",1,""
"Ex-8","Ex-5","Ex-6","Ex-9","Ex-4",NA,6.1,6.4,2000,6500,"REVI",1,""
"","","","","",NA,NA,NA,NA,NA,"",NA,"Ignoring YEWA near Ex-8"
"","","","","",NA,NA,NA,NA,NA,"",NA,"Ignoring faint CCSP near Ex-8"
"","","","","",NA,NA,NA,NA,NA,"",NA,"Ignoring HOWR near Ex-3"
"Ex-5","Ex-2","Ex-3","Ex-6","",NA,4,5.9,4000,8000,"CCSP",1,""
